"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills"
"tree_55" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_56" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_57" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_58" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_59" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_60" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_61" 4005.7632 8289.549 73192.897 376.1 0.692452830188679 -106.940565033899 0.891323852105167 0.045370381428471 7.63286153605194e-05 2.57421325500499e-85 3.330659511503e-195 0 1 1 0
"tree_62" 4005.7632 8276.849 73192.897 376.1 0.690566037735849 -106.623521829748 0.891498262413273 0.0454399977576007 0.000141879755724748 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_63" 4005.7632 8289.549 73192.897 376.1 0.692452830188679 -106.940565033899 0.891323852105167 0.045370381428471 7.63286153605194e-05 2.57421325500499e-85 3.330659511503e-195 0 1 1 0
"tree_64" 4005.7632 8243.349 73192.897 376.1 0.690566037735849 -105.787226763679 0.891958321100007 0.0456246605596827 0.000141879755724748 2.20897021080172e-85 5.77656847962662e-196 0 1 1 0
"tree_65" 4005.7632 8278.049 73192.897 376.1 0.692452830188679 -106.653478667935 0.891481782699121 0.0454334106985837 7.63286153605194e-05 2.4780225078331e-85 2.15506824030295e-195 0 1 1 0
"tree_66" 4005.7632 8278.049 73192.897 376.1 0.692452830188679 -106.653478667935 0.891481782699121 0.0454334106985837 7.63286153605194e-05 2.4780225078331e-85 2.15506824030295e-195 0 1 1 0
"tree_67" 4005.7632 8249.849 73192.897 376.1 0.690566037735849 -105.949492970528 0.891869055981685 0.045588713199478 0.000141879755724748 2.2570497829163e-85 7.39479670338761e-196 0 1 1 0
"tree_68" 4005.7632 8270.649 73192.897 376.1 0.690566037735849 -106.468744832445 0.891583407603056 0.0454740613463345 0.000141879755724748 2.41803017927453e-85 1.62811953576862e-195 0 1 1 0
"tree_69" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_70" 4005.7632 8272.349 73192.897 376.1 0.690566037735849 -106.511183686544 0.891560061341341 0.0454647162492782 0.000141879755724748 2.43168273977864e-85 1.73647841697296e-195 0 1 1 0
"tree_71" 4005.7632 8199.149 73192.897 376.1 0.692452830188679 -104.683816557105 0.892565323904593 0.0458706141332473 7.63286153605194e-05 1.90803919999266e-85 1.07276081452872e-196 0 1 1 0
"tree_72" 4005.7632 8272.379 73192.897 376.1 0.690566037735849 -106.511932607499 0.891559649348488 0.045464551370289 0.000141879755724748 2.4319243564014e-85 1.7384538545639e-195 0 1 1 0
"tree_73" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_74" 4005.7632 8222.749 73192.897 376.1 0.694339622641509 -105.272967708126 0.89224122285961 0.045738961507885 4.00686858393974e-05 2.06324139705341e-85 2.63812988974011e-196 0 1 1 0
"tree_75" 4005.7632 8219.849 73192.897 376.1 0.694339622641509 -105.20057201584 0.892281048835477 0.0457550984209077 4.00686858393974e-05 2.04351121579963e-85 2.3622398191105e-196 0 1 1 0
"tree_76" 4005.7632 8201.049 73192.897 376.1 0.692452830188679 -104.731248217568 0.892539231023853 0.0458599869358176 7.63286153605194e-05 1.92009111179676e-85 1.15345001395213e-196 0 1 1 0
"tree_77" 4005.7632 8234.249 73192.897 376.1 0.694339622641509 -105.56005407409 0.892083292265657 0.0456750822084686 4.00686858393974e-05 2.14337020837388e-85 4.08691672282326e-196 0 1 1 0
"tree_78" 4005.7632 8216.099 73192.897 376.1 0.694339622641509 -105.106956896504 0.892332547942201 0.0457759820080065 4.00686858393974e-05 2.01827680135422e-85 2.04772032947578e-196 0 1 1 0
"tree_79" 4005.7632 8252.149 73192.897 376.1 0.694339622641509 -106.006910243721 0.891837469862894 0.0455760069286194 4.00686858393974e-05 2.27431139398912e-85 8.06978663534311e-196 0 1 1 0
"tree_80" 4005.7632 8252.149 73192.897 376.1 0.694339622641509 -106.006910243721 0.891837469862894 0.0455760069286194 4.00686858393974e-05 2.27431139398912e-85 8.06978663534311e-196 0 1 1 0
"tree_81" 4005.7632 8240.649 73192.897 376.1 0.694339622641509 -105.719823877757 0.891995400456848 0.0456396092103911 4.00686858393974e-05 2.1893002569061e-85 5.2131129772555e-196 0 1 1 0
"tree_82" 4005.7632 8184.149 73192.897 376.1 0.692452830188679 -104.30935607976 0.892771320331489 0.0459546863088636 7.63286153605194e-05 1.8155040241176e-85 6.04844157923332e-197 0 1 1 0
"tree_83" 4005.7632 8284.449 73192.897 376.1 0.692452830188679 -106.813248471602 0.891393890890312 0.0453983119456707 7.63286153605194e-05 2.53110356256123e-85 2.74605010925808e-195 0 1 1 0
"tree_84" 4005.7632 8300.549 73192.897 376.1 0.692452830188679 -107.215169383952 0.891172788058777 0.0453102559842728 7.63286153605194e-05 2.66970433716268e-85 5.04870253740489e-195 0 1 1 0
"tree_85" 4005.7632 8284.449 73192.897 376.1 0.692452830188679 -106.813248471602 0.891393890890312 0.0453983119456707 7.63286153605194e-05 2.53110356256123e-85 2.74605010925808e-195 0 1 1 0
"tree_86" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_87" 4005.7632 8273.349 73192.897 376.1 0.690566037735849 -106.536147718367 0.891546328246215 0.0454592209273415 0.000141879755724748 2.43974954428586e-85 1.80354863188516e-195 0 1 1 0
"tree_88" 4005.7632 8268.949 73192.897 376.1 0.692452830188679 -106.426305978346 0.891606753864771 0.0454834102858779 7.63286153605194e-05 2.40445407233851e-85 1.526505998627e-195 0 1 1 0
"tree_89" 4005.7632 8243.349 73192.897 376.1 0.690566037735849 -105.787226763679 0.891958321100007 0.0456246605596827 0.000141879755724748 2.20897021080172e-85 5.77656847962662e-196 0 1 1 0
